Hostales del IRTRA;Suroccidente;Retalhuleu;San Martin Zapotitlan;Km 180.5 carretera hacia Quetzaltenango por la costa sur;https://irtra.org.gt/hostales/;160;4
Hotel AC Marriot;Metropolitana;Guatemala;Guatemala;11 avenida 35-02, Paseo Cayala, zona 16, Ciudad de Guatemala;https://cutt.ly/nEpqT0r;581;4
Hotel Camino Real Antigua Guatemala;Central;Sacatepequez;Antigua Guatemala;3ra calle oriente No. 28A, Antigua Guatemala;https://cutt.ly/GEpqDUd;890;4.7
Hotel Del Pacifico;Central;Escuintla;Escuintla;CA-2 hotel del Pacifico 05004, Escuintla, Guatemala;https://cutt.ly/TEpqnRl;534;4.5
Hotel Mi Casa en la Playa;Central;Escuintla;Sipacate;2 av lote 102, El Paredon, Buena Vista, Sipacate, Escuintla;https://cutt.ly/5EpqcyW;332;4
Hotel Crysol Center Hotel;Central;Chimaltenango;Chimaltenango;2da. Ave. 1-91 Z-2, Chimaltenango, Guatemala;https://cutt.ly/BEpqhXd;246;3
Hotel Manhatan;Metropolitana;Guatemala;Villa Nueva;4ta Av 5-19 zona 6, Villa Nueva, Guatemala;https://cutt.ly/1Epqa5u;100;2.5
Hotel Super Precio;Metropolitana;Guatemala;Guatemala;6ta. Avenida A 13-41 zona 9., Zona 9, 01009 Guatemala, Guatemala;https://cutt.ly/ZEpqt33;175;4.5
Hotel Mi Casa, Tu Casa;Metropolitana;Guatemala;Guatemala;20 Calle 10-48 z13 Aurora II, Zona 13, 01013 Guatemala, Guatemala;https://cutt.ly/vEpqwnC;271;5
Hotel El Portal Sololateco;Suroccidente;Solola;Solola;8a Calle, 5-42, zona 1, Solola, 502, Solola;https://cutt.ly/mEo63fc;380;2.5
Hotel las Americas;Suroccidente;Quetzaltenango;Quetzaltenango;Avenida Las Americas 5-96A Zona 9, 09001 Quetzaltenango, Guatemala;https://cutt.ly/lEo6VEP;275;3
Hotel Casa Quetzaltenango;Suroccidente;Quetzaltenango;Quetzaltenango;10 avenida 10 avenida 4-15 zona 1, 09001 Quetzaltenango, Guatemala;https://cutt.ly/REo6Lmk;100;3.5
Hotel Ruinas Resort;Noroccidente;Huehuetenango;Huehuetenango;9 Av. 1-09 Zona 1, Huehuetenango, 13001 Huehuetenango, Guatemala;https://cutt.ly/5Eo6Aoc;560;5
Hotel El Texac;Noroccidente;Huehuetenango;Huehuetenango;Carretera Panamericana, 00502 Huehuetenango, Guatemala;https://cutt.ly/iEo6R3Q;200;3
Hotel El Sitio;Noroccidente;Quiche;Santa Cruz del Quiche;9 Calle 0-41 zona 5, Santa Cruz del Quiche, El Quiche;https://cutt.ly/dEo6b7x;499;4
Hotel de Santa Maria;Noroccidente;Quiche;Santa Cruz del Quiche;7ma avenida 14-51, zona 5, Santa Cruz del Quiche;https://cutt.ly/pEo6fz8;271;3
Hotel el Delfin;Suroriente;Santa Rosa;Taxisco;Calle de los hoteles, 01010 Monterrico, Guatemala;https://cutt.ly/6Eo6rdP;126;2
El Hotel del Sol;Suroriente;Jutiapa;Jutiapa;4ta Calle, Jutiapa, 22001, Jutiapa;https://cutt.ly/CEo5Be6;450;3
Hotel Montecristo;Suroriente;Jalapa;Jalapa;Jalapa, 21001 Jalapa, Guatemala - A 1 km del centro;https://cutt.ly/VEo5K0L;149;2
Hotel La Mar Monterrico;Suroriente;Santa Rosa;Taxisco;km 14.5, Aldea Madre Vieja, Monterrico, Santa Rosa;https://cutt.ly/5Eo5PaZ;1433;3.5
Resort y Parque Acuatico Valle Dorado;Nororiente;Zacapa;Rio Hondo;km 149 Ruta al Atlantico, Rio Hondo Zacapa, Guatemala C.A.;https://cutt.ly/5Eo5n7J;199;4
Grand Caporal Hotel;Nororiente;Chiquimula;Chiquimula;Km. 173 Carretera a Esquipulas, 01001 Chiquimula, Guatemala - A 4,5 km del centro;https://cutt.ly/SEo5r9W;100;2
Hotel Pasabien;Nororiente;Zacapa;Huite;Carretera Jacobo Arbenz Guzman Santa Cruz, Rio Hondo, Zacapa, 19003 Huite;https://cutt.ly/NEo5pBR;250;3
El Hotelito Perdido;Nororiente;Izabal;Rio Dulce;Rio Dulce, Livingston, Guatemala, 18002 Rio Dulce, Guatemala;https://cutt.ly/xEo7ByB;70;4
Alice Guesthouse Hotel;Peten;Peten;El Remate;Calle Jobompiche, 17-22 El Remate, Peten, Guatemala;https://cutt.ly/GEo7w0s;100;3
Hotel Posada del Cerro;Peten;Peten;El Remate;Calle a Jobompiche, El Remate, Guatemala;https://cutt.ly/nEo469q;108;4
Hotel Casona del Lago;Peten;Peten;Santa Elena;Calle litoral, Santa Elena, 1010, Peten;https://cutt.ly/hEo44Vb;632;4.5
Hotel La Ribiera del Lago Peten Itza;Peten;Peten;San Jose;Jobompiche, San Jose, Peten, 50803;https://cutt.ly/DEo49RM;707;2
Hotel San Jeronimo;Norte;Baja Verapaz;San Jeronimo;Calle Pueblo Nuevo, San Jeronimo, 15007, Baja Verapaz;https://cutt.ly/AEo4X34;632;3
Hotel Casa Gaia;Norte;Alta Verapaz;Coban;Final de la 9na avenida, Coban, Guatemala;https://cutt.ly/uEo7v5a;538;3
Hotel Eco Chibulbut;Norte;Alta Verapaz;San Juan Chamelco;Ruta a San Juan Chamelco km 215.2, Coban, 16001, Alta Verapaz, Guatemala;https://cutt.ly/dEo7Uzy;485;3
Hotel Posada de Los Frailes;Norte;Alta Verapaz;San Jeronimo;8va Avenida 1-30 zona 3, San Jeronimo, Baja Verapaz, Guatemala;https://cutt.ly/mEo7HSd;300;3
